node_id,node_name,source_name,source_kind,ordinal
123,ВТ_СостоянияПенсионныхСчетов,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯПС.СРЕЗПОСЛЕДНИХ,InformationRegister,1
123,ВТ_СостоянияПенсионныхСчетов,РЕГИСТРСВЕДЕНИЙ.УП_СОСТОЯНИЯПС.СРЕЗПЕРВЫХ,InformationRegister,2
124,Подзапрос_19,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
125,ВТ_ПенсионныеСчета_НеИПС,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
126,ВТ_СчетаДоговоров_СчетаУчастников,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
127,ВТ_ПенсионныеСчета_Орг_ПС_ТР,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
127,ВТ_ПенсионныеСчета_Орг_ПС_ТР,ВТ_ТИПЫРЕЗЕРВОВ,TempTable,2
128,ВТ_ПенсионныеСчета_Орг_Уч_ПС,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
129,ВТ_ПенсионныеДоговоры,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
130,ВТ_ПараметрыПенсионныхДоговоров,РЕГИСТРСВЕДЕНИЙ.УП_ПАРАМЕТРЫПЕНСИОННОГОДОГОВОРА.СРЕЗПОСЛЕДНИХ,InformationRegister,1
131,Подзапрос_20,ВТ_ПЕНСИОННЫЕДОГОВОРЫ,TempTable,1
132,ВТ_ПенсионныеДоговоры_Свойства,ВТ_ПЕНСИОННЫЕДОГОВОРЫ,TempTable,1
132,ВТ_ПенсионныеДоговоры_Свойства,СПРАВОЧНИК.УП_ПЕНСИОННЫЕДОГОВОРЫ,Catalog,2
132,ВТ_ПенсионныеДоговоры_Свойства,ВТ_ПАРАМЕТРЫПЕНСИОННЫХДОГОВОРОВ,TempTable,3
132,ВТ_ПенсионныеДоговоры_Свойства,РЕГИСТРСВЕДЕНИЙ.ИФРС17_ГРУППЫДОГОВОРОВНПО.СРЕЗПОСЛЕДНИХ,InformationRegister,4
132,ВТ_ПенсионныеДоговоры_Свойства,СПРАВОЧНИК.ИФРС17_ГРУППЫДОГОВОРОВНПО,Catalog,5
132,ВТ_ПенсионныеДоговоры_Свойства,СПРАВОЧНИК.ИФРС17_ПАРАМЕТРЫГРУППЫДОГОВОРОВНПО,Catalog,6
132,ВТ_ПенсионныеДоговоры_Свойства,СПРАВОЧНИК.ИФРС17_ПОРТФЕЛЬДОГОВОРОВНПО,Catalog,7
133,Подзапрос_21,ВТ_ПЕНСИОННЫЕДОГОВОРЫ,TempTable,1
134,ВТ_СхемыПенсионныхСчетов,РЕГИСТРСВЕДЕНИЙ.УП_СХЕМАСЧЕТА.СРЕЗПОСЛЕДНИХ,InformationRegister,1
134,ВТ_СхемыПенсионныхСчетов,ВТ_ПЕНСИОННЫЕДОГОВОРЫ_СВОЙСТВА,TempTable,2
134,ВТ_СхемыПенсионныхСчетов,ВТ_СОСТОЯНИЯПЕНСИОННЫХСЧЕТОВ,TempTable,3
134,ВТ_СхемыПенсионныхСчетов,ВТ_ПРИЧИНЫЗАКРЫТИЯ,TempTable,4
135,Подзапрос_22,ВТ_ПЕНСИОННЫЕСЧЕТА,TempTable,1
136,ВТ_ПенсионныеСхемы,ВТ_СХЕМЫПЕНСИОННЫХСЧЕТОВ,TempTable,1
137,ВТ_Схемы_Свойства,ВТ_ПЕНСИОННЫЕСХЕМЫ,TempTable,1
137,ВТ_Схемы_Свойства,СПРАВОЧНИК.УП_ПЕНСИОННЫЕСХЕМЫ,Catalog,2
138,ВТ_СхемыПенсионныхСчетов_ТранзитныеОбязательства,РЕГИСТРСВЕДЕНИЙ.УП_СХЕМАСЧЕТА,InformationRegister,1
138,ВТ_СхемыПенсионныхСчетов_ТранзитныеОбязательства,ВТ_ПЕНСИОННЫЕДОГОВОРЫ_СВОЙСТВА,TempTable,2
138,ВТ_СхемыПенсионныхСчетов_ТранзитныеОбязательства,ВТ_СОСТОЯНИЯПЕНСИОННЫХСЧЕТОВ,TempTable,3
138,ВТ_СхемыПенсионныхСчетов_ТранзитныеОбязательства,ВТ_ПРИЧИНЫЗАКРЫТИЯ,TempTable,4
139,Подзапрос,ВТ_ТРАНЗИТНЫЕВИДЫНАЧАЛОКОНЕЦ,TempTable,1
139,Подзапрос,РЕГИСТРСВЕДЕНИЙ.УП_СХЕМАСЧЕТА,InformationRegister,2
140,ВТ_Вкладчики,ВТ_ПЕНСИОННЫЕДОГОВОРЫ_СВОЙСТВА,TempTable,1
142,Часть_1,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
143,Часть_2,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
145,Часть_1,ВТ_ВКЛАДЧИКИ,TempTable,1
146,Часть_2,ВТ_ПЕНСИОННЫЕСЧЕТА_СВОЙСТВА,TempTable,1
148,Часть_1,ВТ_ВКЛАДЧИКИУЧАСТНИКИ,TempTable,1
148,Часть_1,СПРАВОЧНИК.КОНТРАГЕНТЫ,Catalog,2
148,Часть_1,СПРАВОЧНИК.ФИЗИЧЕСКИЕЛИЦА,Catalog,3
148,Часть_1,РЕГИСТРСВЕДЕНИЙ.ГРАЖДАНСТВОФИЗИЧЕСКИХЛИЦ.СРЕЗПОСЛЕДНИХ,InformationRegister,4
149,Часть_2,"__QM_2879D4729CEA4E01AADF06642601B221__,",Unknown,1
149,Часть_2,"__QM_DA4EEC58A32A4D7483F548AED546E955__,",Unknown,2
149,Часть_2,"__QM_5FE594584B934B3C9A4160A2540A98E7__,",Unknown,3
149,Часть_2,"__QM_078B5FC0850949399EE1FABA45A7BA4D__,",Unknown,4
149,Часть_2,"NULL,",Unknown,5
